Soil_Type,code,family,sub-family,description,climatic zone,geologic zone
1,2702,Cathedral,,extremely stony,lower montane,igneous and metamorphic
2,2703,Vanet,Ratake,very stony,lower montane,igneous and metamorphic
3,2704,Haploborolis,,rubbly,lower montane,igneous and metamorphic
4,2705,Ratake,,rubbly,lower montane,igneous and metamorphic
5,2706,Vanet,,rubbly,lower montane,igneous and metamorphic
6,2717,Vanet,Wetmore,stony,lower montane,igneous and metamorphic
7,3501,Gothic,,alluvium,montane dry,mixed sedimentary
8,3502,Supervisor,Limber,,montane dry,mixed sedimentary
9,4201,Troutville,,very stony,montane,glacial
10,4703,Bullwark,Catamount,rubbly,montane,igneous and metamorphic
11,4704,Bullwark,Catamount,rubbly,montane,igneous and metamorphic
12,4744,Legault,,stony,montane,igneous and metamorphic
13,4758,Catamount,,rubbly,montane,igneous and metamorphic
14,5101,Pachic,Argiborolis,Aquolis,montane dry,alluvium
15,5151,unspecified,,unknown,montane dry,alluvium
16,6101,Cryaquolis,Cryoborolis,,montane and subalpine,alluvium
17,6102,Gateview,Cryaquolis,,montane and subalpine,alluvium
18,6731,Rogert,,very stony,montane and subalpine,igneous and metamorphic
19,7101,Typic,Cryaquolis,,subalpine,alluvium
20,7102,Typic,Cryaquepts,,subalpine,alluvium
21,7103,Typic,Cryaquolls,,subalpine,alluvium
22,7201,Leighcan,till substratum,bouldery,subalpine,glacial
23,7202,Leighcan,Cryaquolls,,subalpine,glacial
24,7700,Leighcan,,extremely stony,subalpine,igneous and metamorphic
25,7701,Leighcan,,extremely stony,subalpine,igneous and metamorphic
26,7702,Granile,Catamount,very stony,subalpine,igneous and metamorphic
27,7709,Leighcan,,extremely stony,subalpine,igneous and metamorphic
28,7710,Leighcan,,extremely stony,subalpine,igneous and metamorphic
29,7745,Como,Legault,extremely stony,subalpine,igneous and metamorphic
30,7746,Como,,extremely stony,subalpine,igneous and metamorphic
31,7755,Leighcan,Catamount,extremely stony,subalpine,igneous and metamorphic
32,7756,Catamount,Leighcan,extremely stony,subalpine,igneous and metamorphic
33,7757,Leighcan,Catamount,extremely stony,subalpine,igneous and metamorphic
34,7790,Cryorthents,Rock,extremely stony,subalpine,igneous and metamorphic
35,8703,Cryumbrepts,Rock,,alpine,igneous and metamorphic
36,8707,Bross,Cryumbrepts,extremely stony,alpine,igneous and metamorphic
37,8708,Cryumbrepts,Cryorthents,extremely stony,alpine,igneous and metamorphic
38,8771,Leighcan,Moran - Cryaquolls,extremely stony,alpine,igneous and metamorphic
39,8772,Moran,Cryorthents,extremely stony,alpine,igneous and metamorphic
40,8776,Moran,Cryorthents,extremely stony,alpine,igneous and metamorphic
